time,Inc
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,3.67329862
22,3.844150696
23,4.025868943
24,4.221527068
25,4.435055637
26,4.671505024
27,4.937413868
28,5.241327932
29,5.5945356
30,6.012117972
31,6.514459167
32,7.129434487
33,7.895603381
34,8.866900374
35,10.1195701
36,11.76247609
37,13.95249006
38,16.9175229
39,20.99098773
40,26.66315851
41,34.65692305
42,46.03726195
43,62.36357828
44,85.88694766
45,119.7695089
46,168.2392612
47,236.4589912
48,329.6673704
49,450.9459567
50,597.2096054
51,754.5294734
52,896.8235744
53,993.1912514
54,1023.209985
55,988.9911985
56,912.7628591
57,823.1141792
58,742.5943501
59,683.5847204
60,650.2933954
61,642.3572962
62,657.6357755
63,693.8492466
64,749.4880399
65,824.3775337
66,919.9769728
67,1039.195089
68,1185.425949
69,1360.804074
70,1564.20883
71,1789.706853
72,2025.814595
73,2256.600486
74,2466.75697
75,2649.36195
76,2808.119959
77,2948.001364
78,3061.822358
79,3127.869567
80,3123.471821
81,3042.080163
82,2897.720113
83,2715.507945
84,2519.911928
85,2329.209963
86,2155.482411
87,2006.323098
88,1886.167676
89,1796.959532
90,1738.405507
91,1708.022953
92,1701.1682
93,1711.344374
94,1731.110016
95,1753.639936
96,1774.471469
97,1792.60254
98,1810.303937
99,1831.674364
100,1860.566273
101,1898.683353
102,1944.509449
103,1993.505482
104,2039.6766
105,2078.019161
106,2106.721639
107,2127.946715
108,2146.858953
109,2169.641829
110,2201.633488
111,2246.247103
112,2304.660092
113,2375.940693
114,2457.382624
115,2545.029302
116,2634.40934
117,2721.352515
118,2802.601259
119,2875.972999
120,2940.075207
121,2993.840021
122,3036.219058
123,3066.22204
124,3083.237398
125,3087.414792
126,3079.891436
127,3062.759502
128,3038.803974
129,3011.118876
130,2982.719899
131,2956.236896
132,2933.722439
133,2916.573964
134,2905.54459
135,2900.810587
136,2902.066697
137,2908.628619
138,2919.530693
139,2933.613845
140,2949.603763
141,2966.182234
142,2982.055889
143,2996.025855
144,3007.058779
145,3014.354956
146,3017.405014
147,3016.025195
148,3010.363797
149,3000.876769
150,2988.276174
