time,Inc
151,2973.459355
152,2957.428365
153,2941.209045
154,2925.777605
155,2912.000319
156,2900.589304
157,2892.074876
158,2886.792951
159,2884.884645
160,2886.3048
161,2890.836285
162,2898.10769
163,2907.613131
164,2918.734176
165,2930.765186
166,2942.944088
167,2954.490399
168,2964.65059
169,2972.747967
170,2978.230924
171,2980.711284
172,2979.984883
173,2976.029975
174,2968.984246
175,2959.106304
176,2946.730319
177,2932.222487
178,2915.945519
179,2898.234026
180,2879.380605
181,2859.630504
182,2839.182059
183,2818.19024
184,2796.771351
185,2775.007673
186,2752.951509
187,2730.628591
188,2708.041041
189,2685.170197
190,2661.979608
191,2638.418385
192,2614.424994
193,2589.93144
194,2564.867699
195,2539.166166
196,2512.765873
197,2485.61621
198,2457.679952
199,2428.935413
200,2399.377668
201,2369.018829
202,2337.88744
203,2306.027123
204,2273.494633
205,2240.357524
206,2206.691589
207,2172.57828
208,2138.102238
209,2103.34906
210,2068.403383
211,2033.347332
212,1998.259348
213,1963.213372
214,1928.278363
215,1893.518089
216,1858.991141
217,1824.751103
218,1790.846827
219,1757.322758
220,1724.219271
221,1691.572977
222,1659.416985
223,1627.781093
224,1596.691915
225,1566.172933
226,1536.244483
227,1506.923688
228,1478.22435
229,1450.156804
230,1422.727773
231,1395.940212
232,1369.793184
233,1344.281758
234,1319.396974
235,1295.125865
236,1271.451575
237,1248.353575
238,1225.807999
239,1203.788095
240,1182.264822
241,1161.207547
242,1140.584871
243,1120.365515
244,1100.519266
245,1081.017914
246,1061.836142
247,1042.952311
248,1024.349103
249,1006.013971
250,987.9393838
251,970.1228431
252,952.5666877
253,935.2776991
254,918.2665465
255,901.5471099
256,885.1357301
257,869.0504311
258,853.3101587
259,837.9340705
260,822.9409061
261,808.3484545
262,794.1731287
263,780.4296472
264,767.1308183
265,754.2874141
266,741.9081221
267,729.9995581
268,718.5663234
269,707.6110936
270,697.1347232
271,687.1363563
272,677.6135337
273,668.5622898
274,659.9772356
275,651.8516255
276,644.1774083
277,636.9452631
278,630.1446241
279,623.7636985
280,617.7894807
281,612.2077705
282,607.0031987
283,602.1592663
284,597.6584018
285,593.4820418
286,589.610736
287,586.0242818
288,582.7018865
289,579.6223587
290,576.7643255
291,574.106473
292,571.6278041
293,569.3079077
294,567.1272319
295,565.0673518
296,563.1112244
297,561.2434205
298,559.4503255
299,557.7203011
300,556.0438024
301,554.4134434
302,552.8240104
303,551.2724203
304,549.757626
305,548.280471
306,546.8434978
307,545.4507166
308,544.1073407
309,542.8194956
310,541.5939108
311,540.4376017
312,539.3575478
313,538.3603767
314,537.4520584
315,536.637616
316,535.92086
317,535.3041486
318,534.7881804
319,534.3718233
320,534.0519833
321,533.8235173
322,533.6791943
323,533.6097058
324,533.603731
325,533.6480559
326,533.7277475
327,533.8263829
328,533.9263289
329,534.0090673
330,534.0555604
331,534.0466443
332,533.963442
333,533.7877809
334,533.502601
335,533.0923413
336,532.5432874
337,531.8438707
338,530.9849052
339,529.959757
340,528.7644387
341,527.3976297
342,525.8606226
343,524.1572015
344,522.2934603
345,520.277571
346,518.1195137
347,515.8307799
348,513.4240614
349,510.9129373
350,508.3115672
351,505.6344008
352,502.8959098
353,500.1103469
354,497.2915352
355,494.4526891
356,491.6062664
357,488.7638505
358,485.9360612
359,483.1324901
360,480.3616593
361,477.6309985
362,474.9468399
363,472.3144253
364,469.7379267
365,467.2204745
366,464.7641959
367,462.3702587
368,460.0389235
369,457.7696008
370,455.5609161
371,453.4107803
372,451.3164677
373,449.2747015
374,447.2817456
375,445.333503
376,443.4256205
377,441.5535971
378,439.7128953
379,437.8990517
380,436.1077856
381,434.335101
382,432.5773799
383,430.8314639
384,429.0947205
385,427.3650936
386,425.6411363
387,423.9220248
388,422.2075559
389,420.4981269
390,418.7947026
391,417.0987688
392,415.4122782
393,413.7375892
394,412.0774017
395,410.4346918
396,408.8126483
397,407.2146126
398,405.644022
399,404.1043603
400,402.5991132
401,401.1317301
402,399.7055927
403,398.323989
404,396.9900929
405,395.7069489
406,394.477461
407,393.3043861
408,392.1903295
409,391.137745
410,390.1489355
411,389.2260569
412,388.3711226
413,387.5860099
414,386.872467
415,386.2321199
416,385.6664811
417,385.176957
418,384.7648561
419,384.4313963
420,384.1777122
421,384.0048617
422,383.9138313
423,383.9055413
424,383.9808491
425,384.1405518
426,384.3853871
427,384.7160331
428,385.1331058
429,385.6371558
430,386.2286624
431,386.9080262
432,387.6755595
433,388.5314752
434,389.4758728
435,390.5087229
436,391.62985
437,392.8389124
438,394.1353815
439,395.5185183
440,396.9873495
441,398.5406417
442,400.1768755
443,401.8942189
444,403.6905009
445,405.5631863
446,407.5093514
447,409.5256625
448,411.6083564
449,413.7532259
450,415.9556089
451,418.2103834
452,420.5119687
453,422.8543335
454,425.231012
455,427.6351279
456,430.0594271
457,432.4963189
458,434.9379266
459,437.3761457
460,439.8027103
461,442.2092661
462,444.5874495
463,446.9289711
464,449.225701
465,451.4697563
466,453.6535865
467,455.7700564
468,457.8125235
469,459.7749087
470,461.6517583
471,463.4382949
472,465.1304582
473,466.7249317
474,468.2191575
475,469.6113369
476,470.9004191
477,472.086076
478,473.1686662
479,474.1491882
480,475.0292243
481,475.8108769
482,476.4966994
483,477.0896215
484,477.5928738
485,478.0099096
486,478.3443295
487,478.5998063
488,478.780015
489,478.8885665
490,478.9289475
491,478.9044667
492,478.8182084
493,478.6729933
494,478.4713474
495,478.2154791
496,477.9072633
497,477.5482349
498,477.139588
499,476.6821839
500,476.1765644
501,475.6229722
502,475.021376
503,474.3715008
504,473.672862
505,472.9248028
506,472.1265338
507,471.2771747
508,470.3757959
509,469.4214611
510,468.4132683
511,467.3503895
512,466.2321082
513,465.0578544
514,463.8272352
515,462.5400625
516,461.196376
517,459.7964619
518,458.3408663
519,456.8304042
520,455.2661638
521,453.6495053
522,451.9820559
523,450.2656996
524,448.5025636
525,446.6950006
526,444.8455673
527,442.9570008
528,441.0321919
529,439.0741562
530,437.086004
531,435.0709086
532,433.0320743
533,430.9727034
534,428.8959644
535,426.8049593
536,424.7026932
537,422.5920446
538,420.4757372
539,418.3563146
540,416.2361168
541,414.1172601
542,412.0016202
543,409.8908188
544,407.7862147
545,405.6888986
546,403.5996931
547,401.5191575
548,399.4475968
549,397.3850766
550,395.3314426
551,393.2863441
552,391.249263
553,389.2195455
554,387.1964378
555,385.1791234
556,383.1667628
557,381.1585333
558,379.1536681
559,377.1514945
560,375.1514691
561,373.1532097
562,371.1565224
563,369.1614247
564,367.1681614
565,365.1772161
566,363.1893153
567,361.2054268
568,359.2267531
569,357.2547179
570,355.290949
571,353.3372569
572,351.3956101
573,349.4681077
574,347.5569513
575,345.6644158
576,343.7928202
577,341.9444998
578,340.1217793
579,338.3269491
580,336.5622424
581,334.8298162
582,333.1317349
583,331.4699567
584,329.8463228
585,328.2625498
586,326.7202245
587,325.2208011
588,323.765601
589,322.3558138
590,320.9925006
591,319.6765987
592,318.408927
593,317.1901926
594,316.0209981
595,314.901849
596,313.8331617
597,312.8152714
598,311.84844
599,310.9328637
600,310.0686805
601,309.2559769
602,308.4947946
603,307.7851366
604,307.1269724
605,306.5202428
606,305.9648644
607,305.460733
608,305.0077264
609,304.6057068
610,304.2545223
611,303.954008
612,303.7039859
613,303.5042649
614,303.3546391
615,303.2548869
616,303.2047678
